epoch_utc,mp_ra,mp_dec
1741543500,5.42610725150297,-0.387739606868376
1741543560,5.4262677196642,-0.387689542504043
1741543620,5.42642817925062,-0.387639469621173
1741543680,5.42658863026263,-0.387589388221683
1741543740,5.42674907270064,-0.38753929830749
1741543800,5.42690950656506,-0.387489199880517
1741543860,5.4270699318563,-0.387439092942678
1741543920,5.42723034857475,-0.387388977495895
1741543980,5.42739075672087,-0.387338853542083
1741544040,5.42755115629503,-0.387288721083164
1741544100,5.42771154729765,-0.387238580121051
1741544160,5.42787192972915,-0.387188430657666
1741544220,5.42803230358997,-0.387138272694926
1741544280,5.42819266888047,-0.387088106234748
1741544340,5.4283530256011,-0.387037931279051
1741544400,5.42851337375228,-0.386987747829749
1741544460,5.42867371333441,-0.386937555888764
1741544520,5.42883404434793,-0.386887355458009
1741544580,5.42899436679322,-0.386837146539407
1741544640,5.42915468067073,-0.38678692913487
1741544700,5.42931498598088,-0.386736703246317
1741544760,5.42947528272406,-0.386686468875665
1741544820,5.42963557090073,-0.38663622602483
1741544880,5.42979585051129,-0.386585974695731
1741544940,5.42995612155617,-0.386535714890281
1741545000,5.43011638403578,-0.386485446610398
1741545060,5.43027663795056,-0.386435169858
1741545120,5.43043688330089,-0.386384884635003
1741545180,5.43059712008727,-0.386334590943321
1741545240,5.43075734831006,-0.386284288784873
1741545300,5.43091756796973,-0.386233978161572
1741545360,5.43107777906667,-0.386183659075336
1741545420,5.43123798160133,-0.38613333152808
1741545480,5.43139817557413,-0.386082995521721
1741545540,5.43155836098552,-0.386032651058171
1741545600,5.43171853783587,-0.385982298139352
1741545660,5.43187870612568,-0.385931936767172
1741545720,5.43203886585533,-0.385881566943551
1741545780,5.4321990170253,-0.385831188670402
1741545840,5.43235915963597,-0.385780801949641
1741545900,5.4325192936878,-0.385730406783183
1741545960,5.43267941918122,-0.385680003172942
1741546020,5.43283953611665,-0.385629591120834
1741546080,5.43299964449454,-0.385579170628773
1741546140,5.43315974431533,-0.385528741698672
1741546200,5.43331983557944,-0.38547830433245
1741546260,5.43347991828731,-0.385427858532016
1741546320,5.43363999243938,-0.385377404299286
1741546380,5.43380005803608,-0.385326941636176
1741546440,5.43396011507785,-0.385276470544599
1741546500,5.43412016356516,-0.385225991026467
1741546560,5.43428020349839,-0.385175503083696
1741546620,5.43444023487803,-0.385125006718199
1741546680,5.43460025770451,-0.385074501931889
1741546740,5.43476027197826,-0.385023988726681
1741546800,5.43492027769972,-0.384973467104486
1741546860,5.43508027486933,-0.38492293706722
1741546920,5.43524026348757,-0.384872398616795
1741546980,5.43540024355484,-0.38482185175512
1741547040,5.43556021507161,-0.384771296484115
1741547100,5.4357201780383,-0.384720732805689
1741547160,5.43588013245538,-0.384670160721755
1741547220,5.43604007832329,-0.384619580234226
1741547280,5.43620001564248,-0.384568991345013
1741547340,5.43635994441339,-0.384518394056032
1741547400,5.43651986463646,-0.38446778836919
